_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points,energy_points,sugars_points,sodium_points,saturated_fat_points,fruit_points,fiber_points,proteins_points,our_nutrition_score,our_nutrition_label
3251491787810.0,https://images.openfoodfacts.org/images/products/325/149/178/7810/front_en.127.400.jpg,Gerblé,Biscuits and cakes,1817.0,21.0,0.0,1.3,9.4,6.4,21.95,0.0,0.0,b,10.0,10.0,5,6,10,9,0,10,10,0.5500000000000007,b
3175680011480.0,https://images.openfoodfacts.org/images/products/317/568/001/1480/front_en.221.400.jpg,Gerblé,Biscuits and cakes,1961.0,17.0,0.38,2.0,10.0,4.6,13.8,0.152,1.0,b,10.0,9.0,5,7,10,9,0,8,10,1.049999999999999,b
3175681116832.0,https://images.openfoodfacts.org/images/products/317/568/111/6832/front_en.91.400.jpg,Gerblé,Biscuits and cakes,1791.0,0.0,0.2,1.5,6.2,4.1,9.165625,0.08,-1.0,a,6.0,7.0,5,10,10,9,0,8,6,1.549999999999999,b
3175681105423.0,https://images.openfoodfacts.org/images/products/317/568/110/5423/front_en.80.400.jpg,Gerblé,Biscuits and cakes,1727.0,0.0,0.2,3.3,8.0,8.9,19.0,0.08,-1.0,a,8.0,9.0,5,10,10,7,0,10,8,1.3499999999999996,b
3251491787803.0,https://images.openfoodfacts.org/images/products/325/149/178/7803/front_en.151.400.jpg,Gerblé,Biscuits and cakes,1870.0,20.0,0.03,1.4,9.5,6.1,14.725,0.012,0.0,b,10.0,10.0,5,6,10,9,0,10,10,0.5500000000000007,b
3178530410143.0,https://images.openfoodfacts.org/images/products/317/853/041/0143/front_en.121.400.jpg,St Michel,Biscuits and cakes,1894.0,30.0,0.76,3.5,5.5,1.2,18.4833333333333,0.304,16.0,d,9.0,10.0,5,4,10,7,0,2,6,4.750000000000002,d
5000159461122.0,https://images.openfoodfacts.org/images/products/500/015/946/1122/front_en.185.400.jpg,"Mars,Snickers",Biscuits and cakes,2044.0,52.0,0.64,7.8,8.7,1.3,0.0,0.256,24.0,e,4.0,9.0,4,0,10,3,0,2,10,6.450000000000001,e
3175680011442.0,https://images.openfoodfacts.org/images/products/317/568/001/1442/front_en.142.400.jpg,Gerblé,Biscuits and cakes,1866.0,18.0,0.36,1.4,11.0,4.9,15.7,0.144,0.0,b,10.0,10.0,5,7,10,9,0,10,10,0.4499999999999993,b
3560071177294.0,https://images.openfoodfacts.org/images/products/356/007/117/7294/front_fr.49.400.jpg,Carrefour,Biscuits and cakes,1601.0,30.0,0.45,0.7,5.0,4.5,0.0,0.18,7.0,c,8.0,8.0,6,4,10,10,0,8,6,1.2499999999999982,b
3175681116863.0,https://images.openfoodfacts.org/images/products/317/568/111/6863/front_fr.73.400.jpg,Gerblé,Biscuits and cakes,1850.0,0.0,0.32,1.7,8.1,5.4,17.075,0.128,-3.0,a,7.0,10.0,5,10,10,9,0,10,10,0.15000000000000036,b
3560071011475.0,https://images.openfoodfacts.org/images/products/356/007/101/1475/front_fr.117.400.jpg,Carrefour,Biscuits and cakes,1586.0,30.0,0.5,0.9,5.7,4.0,17.2,0.2,8.0,c,11.0,11.0,6,4,10,10,0,8,6,1.2499999999999982,b
3175681257542.0,https://images.openfoodfacts.org/images/products/317/568/125/7542/front_fr.85.400.jpg,Gerblé,Biscuits and cakes,1878.0,18.0,0.29,1.4,7.8,6.0,5.3,0.116,1.0,b,10.0,9.0,5,7,10,9,0,10,8,0.8499999999999996,b
3229820794532.0,https://images.openfoodfacts.org/images/products/322/982/079/4532/front_en.194.400.jpg,Bjorg,Biscuits and cakes,1856.0,16.0,0.37,1.4,8.9,7.7,8.25,0.148,0.0,b,10.0,10.0,5,7,10,9,0,10,10,0.4499999999999993,b
3229820021027.0,https://images.openfoodfacts.org/images/products/322/982/002/1027/front_fr.216.400.jpg,Bjorg,Biscuits and cakes,1750.0,20.0,0.45,0.8,7.6,7.6,0.0,0.18,1.0,b,10.0,9.0,5,6,10,10,0,10,8,0.5500000000000007,b
3175681851863.0,https://images.openfoodfacts.org/images/products/317/568/185/1863/front_en.132.400.jpg,Gerblé,Biscuits and cakes,1878.0,17.0,0.36,1.7,12.0,5.6,20.7,0.144,0.0,b,10.0,10.0,5,7,10,9,0,10,10,0.4499999999999993,b
3029330022411.0,https://images.openfoodfacts.org/images/products/302/933/002/2411/front_fr.111.400.jpg,Jacquet,Bread,1076.0,3.9,1.1,0.3,8.7,3.5,7.51666666666667,0.44,-1.0,a,7.0,8.0,7,10,10,10,0,6,10,-0.05000000000000071,a
3760049794298.0,https://images.openfoodfacts.org/images/products/376/004/979/4298/front_fr.170.400.jpg,La Boulangère,Bread,1298.0,5.5,1.3,0.7,8.8,4.4,0.0,0.52,0.0,b,9.0,9.0,7,9,10,10,0,8,10,-0.5500000000000007,a
4056489039532.0,https://images.openfoodfacts.org/images/products/405/648/903/9532/front_fr.22.400.jpg,Maître Jean Pierre,Bread,1719.0,8.6,1.0,0.7,9.5,3.5,1.875,0.4,2.0,b,10.0,8.0,5,9,10,10,0,6,10,1.0500000000000007,b
3029330004233.0,https://images.openfoodfacts.org/images/products/302/933/000/4233/front_fr.57.400.jpg,Jacquet,Bread,871.0,4.9,1.0,0.3,6.8,10.0,0.0,0.4,-2.0,a,7.0,9.0,8,9,10,10,0,10,8,-1.25,a
