index,url,product_name,categories,countries_fr,nutriscore_score,nutriscore_grade,food_groups_tags,image_url,energy_100g,saturated-fat_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,fruits-vegetables-nuts_100g
825939,http://world-fr.openfoodfacts.org/produit/1200101017825/cranberry-ocean-spray,Cranberry,"aliments et boissons à base de végétaux, boissons, surgelés, boissons à base de végétaux, boissons aux fruits, boissons à la canneberge, boissons avec sucre ajouté",France,13.0,e,"en:beverages,en:sweetened-beverages",https://images.openfoodfacts.org/images/products/120/010/101/7825/front_fr.41.400.jpg,167.0,0.0,9.3,0.0,0.0,0.0,27.0
892227,http://world-fr.openfoodfacts.org/produit/20446307/8-galette-de-legumes-green-grocer-s,8 galette de légumes,"aliments et boissons à base de végétaux, aliments d'origine végétale, snacks, snacks salés, surgelés, plats préparés, légumes préparés, plats préparés surgelés, cakes aux légumes",France,-2.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/20446307/front_fr.6.400.jpg,464.0,0.8,3.1,3.0,2.5,0.84,75.0
894012,http://world-fr.openfoodfacts.org/produit/20502539/dessert-glace-aux-3-chocolats-650-g-900-ml-delicieux,Dessert glacé aux 3 chocolats (650 g / 900 ml),"desserts, surgelés, desserts glacés, glaces et sorbets, glaces",France,14.0,d,"en:milk-and-dairy-products,en:ice-cream",https://images.openfoodfacts.org/images/products/20502539/front_fr.4.400.jpg,1008.0,7.0,30.8,1.0,4.0,0.15,0.0
896995,http://world-fr.openfoodfacts.org/produit/20593230/couscous-toque-du-chef,Couscous,"surgelés, plats préparés, plats à base de semoule, couscous préparés, plats préparés surgelés, plats préparés à réchauffer au micro-ondes",France,4.0,c,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/20593230/front_fr.7.400.jpg,448.0,1.1,2.4,0.0,4.6,1.04,25.0
897568,http://world-fr.openfoodfacts.org/produit/20609511/champignons-eminces-green-grocers,Champignons émincés,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, champignons et produits dérivés, champignons, champignons surgelés, champignons de paris, champignons de paris surgelés, champignons de paris émincés surgelés, champignons de paris émincés",France,-7.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/20609511/front_fr.24.400.jpg,59.0,0.0,0.2,1.5,2.3,0.02,100.0
1048417,http://world-fr.openfoodfacts.org/produit/26053325/colin-d-alaska-golden-seafood,Colin d'Alaska,"surgelés, plats préparés, plats préparés au poisson, plats préparés surgelés, plats préparés à réchauffer au micro-ondes, colins d'alaska à la parisienne, plats préparés à réchauffer au bain-marie",France,-1.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/26053325/front_fr.56.400.jpg,276.0,1.5,0.9,0.0,8.5,0.79,8.5
1134255,http://world-fr.openfoodfacts.org/produit/3083681047967/les-3-legumes-precuit-vapeur-choux-fleurs-brocolis-et-choux-romanesco-bonduelle,"Les 3 Légumes Précuit Vapeur choux fleurs, brocolis et choux romanesco","aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés, mélanges d'aliments à base de plantes surgelés, mélanges de légumes, mélanges de légumes surgelés",France,-3.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/308/368/104/7967/front_fr.26.400.jpg,104.0,0.1,1.5,2.3,1.9,0.08,0.0
1134305,http://world-fr.openfoodfacts.org/produit/3083681056679/courgettes-en-rondelles-bonduelle,Courgettes en Rondelles,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés, courgettes, courgettes surgelées, courgettes en rondelles surgelées",France,-5.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/308/368/105/6679/front_fr.17.400.jpg,100.0,0.1,2.5,1.2,1.6,0.3,100.0
1134338,http://world-fr.openfoodfacts.org/produit/3083681062267/galettes-potiron-butternut-carottes-bonduelle,Galettes Potiron Butternut Carottes,"aliments et boissons à base de végétaux, aliments d'origine végétale, snacks, snacks salés, surgelés, plats préparés, légumes préparés, plats préparés surgelés, cakes aux légumes","France,Italie",-2.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/308/368/106/2267/front_fr.54.400.jpg,395.0,1.3,4.3,3.0,3.4,0.7,80.0
1145909,http://world-fr.openfoodfacts.org/produit/3123349012767/le-fruit-multifruit-joker,Le fruit multifruit,"aliments et boissons à base de végétaux, boissons, aliments d'origine végétale, snacks, aliments à base de fruits et de légumes, snacks sucrés, confiseries, surgelés, fruits et produits dérivés, boissons à base de végétaux, boissons aux fruits, jus et nectars, jus de fruits, pâtes de fruits, jus multifruits, pâtes de fruits multifruits",France,4.0,c,"en:beverages,en:unsweetened-beverages",https://images.openfoodfacts.org/images/products/312/334/901/2767/front_fr.9.400.jpg,197.0,0.0,10.0,0.0,0.0,0.0,100.0
1149008,http://world-fr.openfoodfacts.org/produit/3153572109217/delices-souffles-nature-ecochard,Délices Soufflés Nature,"surgelés, plats préparés, quenelles, quenelles nature, spécialité quenellière soufflée",France,2.0,b,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/315/357/210/9217/front_fr.76.400.jpg,944.0,1.8,1.2,1.5,7.2,0.98,0.0
1149029,http://world-fr.openfoodfacts.org/produit/3153573000117/delices-souffles-bio-brochet-ecochard,Délices Soufflés BIO Brochet,"surgelés, plats préparés, plats préparés au poisson, quenelles, quenelles de poisson, quenelles de brochet, spécialité quenellière soufflée",France,1.0,b,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/315/357/300/0117/front_fr.26.400.jpg,851.0,1.4,1.5,1.1,7.6,0.85,0.0
1149060,http://world-fr.openfoodfacts.org/produit/3153575556018/tagliatelles-ecochard,Tagliatelles Ecochard,"aliments et boissons à base de végétaux, aliments d'origine végétale, céréales et pommes de terre, céréales et dérivés, surgelés, pâtes alimentaires, nouilles, pâtes aux œufs, pâtes fraîches, pâtes fraîches aux œufs, nouilles aux oeufs, tagliatelles aux œufs, pâtes de savoie",France,-4.0,a,"en:cereals-and-potatoes,en:cereals",https://images.openfoodfacts.org/images/products/315/357/555/6018/front_fr.30.400.jpg,1227.0,0.6,1.6,2.3,11.0,0.05,0.0
1152848,http://world-fr.openfoodfacts.org/produit/3165440302507/coquilles-saint-jacques-a-la-bretonne-tipiak,Coquilles Saint-Jacques à la Bretonne,"produits de la mer, snacks, snacks salés, amuse-gueules, surgelés, plats préparés, mollusques, plats préparés surgelés, plats aux fruits de mer, plats préparés à réchauffer au micro-ondes, plats aux noix de saint-jacques, entrées et snacks surgelés, coquilles saint-jacques, coquilles saint-jacques surgelées, coquilles-saint-jacques-a-la-bretonne, entrees-chaudes, plats-prepares-a-rechauffer-au-four-traditionnel",France,5.0,c,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/316/544/030/2507/front_fr.46.400.jpg,435.0,4.0,1.0,0.7,4.8,0.89,14.0
1154193,http://world-fr.openfoodfacts.org/produit/3166352940108/parmentier-de-poisson-weight-watchers,Parmentier de poisson,"surgelés, plats préparés, plats préparés au poisson, plats préparés surgelés",France,0.0,b,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/316/635/294/0108/front_fr.27.400.jpg,413.0,1.5,2.7,1.2,7.5,0.73,14.9
1164583,http://world-fr.openfoodfacts.org/produit/3182180002139/grilletine-equilibre-x18-pasquier,Grilletine Equilibre x18,"aliments et boissons à base de végétaux, aliments d'origine végétale, céréales et pommes de terre, surgelés, pains, pains grillés, petits pains grillés, tartines grillées sans sucres ajoutés","France,La Réunion",8.0,c,"en:cereals-and-potatoes,en:bread",https://images.openfoodfacts.org/images/products/318/218/000/2139/front_fr.28.400.jpg,1729.0,2.2,4.8,4.2,14.0,1.0,0.0
1171775,http://world-fr.openfoodfacts.org/produit/3222470115740/amandier-pur-beurre-charentespoitou-a-o-p-guichard-perrachon,Amandier Pur beurre CharentesPoitou A.O.P.,"snacks, snacks sucrés, surgelés, biscuits et gâteaux, gâteaux, gâteaux aux amandes, gâteaux moelleux",France,17.0,d,"en:sugary-snacks,en:biscuits-and-cakes",https://images.openfoodfacts.org/images/products/322/247/011/5740/front_fr.4.400.jpg,2006.0,11.0,33.0,5.2,11.0,0.11,32.0
1171816,http://world-fr.openfoodfacts.org/produit/3222471003015/couscous-moyen-casino,Couscous moyen,"aliments et boissons à base de végétaux, aliments d'origine végétale, céréales et pommes de terre, graines, céréales et dérivés, céréales en grains, pâtes alimentaires, semoules de céréales, riz, semoules de blé, surgelés",France,-5.0,a,"en:cereals-and-potatoes,en:cereals",https://images.openfoodfacts.org/images/products/322/247/100/3015/front_fr.26.400.jpg,1498.0,0.4,2.3,4.2,12.0,0.0,0.0
1171835,http://world-fr.openfoodfacts.org/produit/3222471005712/cannelloni-pur-boeuf-casino,Cannelloni Pur Boeuf,"conserves, viandes et dérivés, surgelés, plats préparés, viandes, plats à base de pâtes, plats préparés à la viande, préparations de viande, pâtes farcies, plats au bœuf, cannelloni préparés, plats préparés en conserve, cannelloni au boeuf, cannelloni à la bolognaise, cannellonis à la sauce italienne, plats & repas préparés","France,La Réunion",1.0,b,"en:fish-meat-eggs,en:meat,en:meat-other-than-poultry",https://images.openfoodfacts.org/images/products/322/247/100/5712/front_fr.23.400.jpg,484.0,1.5,2.9,1.8,4.9,0.78,33.0
1171867,http://world-fr.openfoodfacts.org/produit/3222471014967/thon-a-la-catalane-casino,Thon à la catalane,"produits de la mer, poissons et dérivés, conserves, poissons, poissons gras, poissons en conserve, thons, thons en conserve, thons à la catalane, conserves et bocaux de poisson, surgelés",France,-1.0,a,"en:fish-meat-eggs,en:fish-and-seafood,en:fatty-fish",https://images.openfoodfacts.org/images/products/322/247/101/4967/front_fr.5.400.jpg,379.0,0.3,4.1,0.9,10.0,0.9,0.0
1171950,http://world-fr.openfoodfacts.org/produit/3222471029855/le-petit-suisse-10-matieres-grasses-casino,Le Petit Suisse 10% matières grasses,"produits laitiers, produits fermentés, desserts, produits laitiers fermentés, desserts lactés, desserts lactés fermentés, petits suisses, desserts lactés fermentés nature, petits suisses nature, surgelés",France,2.0,b,"en:milk-and-dairy-products,en:dairy-desserts",https://images.openfoodfacts.org/images/products/322/247/102/9855/front_fr.22.400.jpg,583.0,6.9,3.2,0.0,8.3,0.11,0.0
1172028,http://world-fr.openfoodfacts.org/produit/3222471090947/sorbet-fraise-morceaux-de-fraise-casino,Sorbet fraise morceaux de fraise,"desserts, surgelés, desserts glacés, glaces et sorbets, glaces, sorbets, sorbets à la fraise",France,5.0,c,"en:milk-and-dairy-products,en:ice-cream",https://images.openfoodfacts.org/images/products/322/247/109/0947/front_fr.6.400.jpg,480.0,0.0,22.0,0.8,0.0,0.04,33.6
1172029,http://world-fr.openfoodfacts.org/produit/3222471090954/sorbet-framboise-avec-morceaux-de-framboise-casino,Sorbet framboise avec morceaux de framboise,"desserts, surgelés, desserts glacés, glaces et sorbets, glaces, sorbets, sorbets à la framboise",France,6.0,c,"en:milk-and-dairy-products,en:ice-cream",https://images.openfoodfacts.org/images/products/322/247/109/0954/front_fr.15.400.jpg,498.0,0.0,26.0,0.6,0.0,0.07,31.7
1172066,http://world-fr.openfoodfacts.org/produit/3222471103265/champignons-de-paris-eminces-casino,Champignons de Paris émincés,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, champignons et produits dérivés, champignons, champignons surgelés, champignons de paris surgelés, légumes bruts",France,-7.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/322/247/110/3265/front_fr.8.400.jpg,51.0,0.0,0.0,1.5,2.3,0.02,100.0
1172146,http://world-fr.openfoodfacts.org/produit/3222471142158/choucroute-garnie-au-vin-blanc-casino,Choucroute garnie au vin blanc,"aliments et boissons à base de végétaux, aliments d'origine végétale, conserves, aliments à base de fruits et de légumes, surgelés, plats préparés, légumes et dérivés, légumes fermentés, choucroutes, plats préparés en conserve, plats préparés à réchauffer au micro-ondes, choucroutes garnies, plats & repas préparés",France,2.0,b,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/322/247/114/2158/front_fr.3.400.jpg,362.0,2.4,0.0,2.4,4.3,0.95,52.66
1172180,http://world-fr.openfoodfacts.org/produit/3222471167274/printaniere-de-legumes-casino,Printanière de légumes,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés, mélanges d'aliments à base de plantes surgelés, mélanges de légumes, mélanges de légumes surgelés, légumes bruts",France,-9.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/322/247/116/7274/front_fr.16.400.jpg,207.0,0.0,2.8,3.4,2.3,0.04,100.0
1172194,http://world-fr.openfoodfacts.org/produit/3222471169209/cassoulet-a-la-saucisse-de-toulouse-cuisine-a-la-graisse-d-oie-casino,Cassoulet à la saucisse de Toulouse cuisiné à la graisse d'oie,"conserves, viandes et dérivés, surgelés, plats préparés, plats préparés à la viande, plats à base de haricots, plats préparés en conserve, cassoulets, plats & repas préparés",France,-3.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/322/247/116/9209/front_fr.27.400.jpg,545.0,2.2,0.6,4.2,8.4,0.8,0.0
1172331,http://world-fr.openfoodfacts.org/produit/3222471673478/frites-special-four-casino,Frites spécial four,"aliments et boissons à base de végétaux, aliments d'origine végétale, céréales et pommes de terre, chips et frites, surgelés, pommes de terre, frites, frites surgelées",France,0.0,b,"en:cereals-and-potatoes,en:potatoes",https://images.openfoodfacts.org/images/products/322/247/167/3478/front_fr.8.400.jpg,613.0,0.4,0.0,1.7,2.3,0.27,0.0
1172333,http://world-fr.openfoodfacts.org/produit/3222471682982/legumes-pour-ratatouille-casino,Légumes pour ratatouille,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés, légumes pour ratatouille surgelés, légumes bruts",France,-6.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/322/247/168/2982/front_fr.17.400.jpg,86.0,0.0,2.9,1.5,0.8,0.03,100.0
1172398,http://world-fr.openfoodfacts.org/produit/3222471915462/riz-a-la-cantonaise-casino-saveurs-d-ailleurs,Riz à la cantonaise,"surgelés, plats préparés, céréales préparées, plats préparés surgelés, riz préparés, riz cantonais, plats & repas préparés",France,1.0,b,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/322/247/191/5462/front_fr.16.400.jpg,582.0,0.5,0.0,0.7,4.8,0.6,13.68
1172473,http://world-fr.openfoodfacts.org/produit/3222472074601/allumettes-special-friteuse-casino,Allumettes spécial friteuse,"aliments et boissons à base de végétaux, aliments d'origine végétale, céréales et pommes de terre, chips et frites, surgelés, pommes de terre, frites, frites surgelées",France,-2.0,a,"en:cereals-and-potatoes,en:potatoes",https://images.openfoodfacts.org/images/products/322/247/207/4601/front_fr.15.400.jpg,532.0,0.4,0.0,2.2,2.3,0.11,0.0
1172589,http://world-fr.openfoodfacts.org/produit/3222472243304/poisson-a-la-parisienne-surgele-casino,"Poisson à la Parisienne, Surgelé","produits de la mer, poissons et dérivés, poissons, surgelés, plats préparés, plats préparés au poisson, préparations de poisson, plats préparés surgelés, plats préparés à réchauffer au micro-ondes, colins d'alaska à la parisienne, colins préparés, plats préparés à réchauffer au bain-marie, poissons préparés",France,-4.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/322/247/224/3304/front_fr.5.400.jpg,314.0,0.6,0.8,1.4,11.3,0.508,10.7
1172694,http://world-fr.openfoodfacts.org/produit/3222472465355/100-pur-jus-orange-casino,100% Pur Jus Orange,"aliments et boissons à base de végétaux, boissons, surgelés, boissons à base de végétaux, boissons aux fruits, jus et nectars, jus de fruits, jus d'orange, jus de fruits pur jus, jus de fruits et légumes, jus d'orange pur jus",France,3.0,c,"en:beverages,en:unsweetened-beverages",https://images.openfoodfacts.org/images/products/322/247/246/5355/front_fr.38.400.jpg,180.0,0.0,9.5,0.2,0.6,0.0,100.0
1172706,http://world-fr.openfoodfacts.org/produit/3222472469797/poelee-a-la-parisienne-casino,Poêlée à la parisienne,"surgelés, plats préparés, poêlées, plats préparés surgelés, légumes bruts, poêlée parisienne",France,-4.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/322/247/246/9797/front_fr.20.400.jpg,289.0,0.8,1.7,3.5,2.5,0.67,79.71
1172764,http://world-fr.openfoodfacts.org/produit/3222472572954/litchis-au-sirop-leger-denoyautees-casino-saveurs-d-ailleurs,Litchis au sirop léger dénoyautées,"aliments et boissons à base de végétaux, aliments d'origine végétale, conserves, desserts, aliments à base de fruits et de légumes, aliments à base de plantes en conserve, surgelés, fruits et produits dérivés, fruits en conserve, fruits au sirop, lychees au sirop",France,2.0,b,"en:fruits-and-vegetables,en:fruits",https://images.openfoodfacts.org/images/products/322/247/257/2954/front_fr.7.400.jpg,327.0,0.0,15.0,1.1,0.5,0.0,0.0
1172781,http://world-fr.openfoodfacts.org/produit/3222472585497/poelee-a-la-landaise-pomme-de-terre-casino,Poêlée à la Landaise Pomme de terre,"aliments et boissons à base de végétaux, aliments d'origine végétale, céréales et pommes de terre, surgelés, plats préparés, pommes de terre, poêlées, plats préparés surgelés, poêlées à la landaise",France,0.0,b,"en:cereals-and-potatoes,en:potatoes",https://images.openfoodfacts.org/images/products/322/247/258/5497/front_fr.15.400.jpg,602.0,1.4,0.8,2.6,5.8,0.83,29.7
1172784,http://world-fr.openfoodfacts.org/produit/3222472586852/liegeois-au-cafe-4-pots-de-dessert-lacte-au-cafe-casino,Liégeois au café 4 pots de Dessert lacté au café,"produits laitiers, desserts, surgelés, desserts lactés, desserts au café, desserts lactés au café",France,5.0,c,"en:milk-and-dairy-products,en:dairy-desserts",https://images.openfoodfacts.org/images/products/322/247/258/6852/front_fr.14.400.jpg,525.0,3.6,13.0,0.0,2.8,0.21,0.0
1172934,http://world-fr.openfoodfacts.org/produit/3222472719175/poelee-du-soleil-legumes-grilles-casino,Poélée du soleil Légumes grillés,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés, mélanges d'aliments à base de plantes surgelés, mélanges de légumes, mélanges de légumes surgelés, légumes bruts",France,-4.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/322/247/271/9175/front_fr.8.400.jpg,204.0,0.3,4.0,1.9,1.2,0.52,97.67
1172984,http://world-fr.openfoodfacts.org/produit/3222472772897/moussaka-aubergine-boeuf-surgelee-casino,"Moussaka (Aubergine - Bœuf), Surgelée","viandes et dérivés, surgelés, plats préparés, plats préparés à la viande, plats au bœuf, plats préparés surgelés, plats préparés à réchauffer au micro-ondes, moussaka, plats préparés à réchauffer au four traditionnel",France,-1.0,a,"en:composite-foods,en:one-dish-meals",https://images.openfoodfacts.org/images/products/322/247/277/2897/front_fr.24.400.jpg,492.0,1.8,3.8,1.8,4.9,0.57,51.2
1173016,http://world-fr.openfoodfacts.org/produit/3222472781189/cuisson-patissiere-casino,Cuisson pâtissière,"aliments et boissons à base de végétaux, aliments d'origine végétale, matières grasses, produits à tartiner, surgelés, pâtes à tartiner végétales, matières grasses à tartiner, matières grasses végétales, margarines",France,17.0,d,"en:fats-and-sauces,en:fats",https://images.openfoodfacts.org/images/products/322/247/278/1189/front_fr.21.400.jpg,2590.0,36.0,0.0,0.0,0.0,0.7,0.0
1173030,http://world-fr.openfoodfacts.org/produit/3222472790228/petits-pois-jeunes-carottes-extrafines-casino,Petits pois jeunes carottes extrafines,"aliments et boissons à base de végétaux, aliments d'origine végétale, légumineuses et dérivés, conserves, aliments à base de fruits et de légumes, légumineuses, aliments à base de plantes en conserve, surgelés, légumes et dérivés, légumes en conserve, aliments à base de plantes surgelés, légumes surgelés, légumineuses en conserve, petits pois et carottes surgelés, petits pois et carottes en conserve, légumes bruts",France,-12.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/322/247/279/0228/front_fr.13.400.jpg,262.0,0.2,4.1,5.6,3.9,0.04,100.0
1173035,http://world-fr.openfoodfacts.org/produit/3222472790372/ma-julienne-de-legumes-casino,Ma julienne de légumes,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés, mélanges d'aliments à base de plantes surgelés, mélanges de légumes, mélanges de légumes surgelés, julienne de légumes, en:raw-thinly-shredded-vegetables, légumes bruts",France,-2.0,a,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/322/247/279/0372/front_fr.8.400.jpg,122.0,0.1,3.7,2.4,1.2,0.1,0.0
1173037,http://world-fr.openfoodfacts.org/produit/3222472790501/epinards-haches-a-la-creme-casino,Epinards hachés à la crème,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, légumes et dérivés, aliments à base de plantes surgelés, légumes surgelés, légumes-feuilles, épinards, épinards surgelés, légumes bruts",France,0.0,b,"en:fruits-and-vegetables,en:vegetables",https://images.openfoodfacts.org/images/products/322/247/279/0501/front_fr.20.400.jpg,174.0,1.2,1.1,2.6,2.2,0.67,0.0
1173052,http://world-fr.openfoodfacts.org/produit/3222472820642/pizza-chorizo-cuite-au-feu-de-bois-casino,Pizza Chorizo cuite au feu de bois,"surgelés, plats préparés, pizzas tartes salées et quiches, pizzas, pizzas et tartes surgelées, pizzas au chorizo, pizzas surgelées",France,3.0,c,"en:composite-foods,en:pizza-pies-and-quiches",https://images.openfoodfacts.org/images/products/322/247/282/0642/front_fr.9.400.jpg,924.0,3.8,3.9,3.0,7.7,1.2,0.0
1173054,http://world-fr.openfoodfacts.org/produit/3222472820673/pizza-saumon-cuite-au-feu-de-bois-casino,Pizza Saumon cuite au feu de bois,"surgelés, plats préparés, pizzas tartes salées et quiches, pizzas, pizzas et tartes surgelées, pizzas surgelées, pizza au saumon",France,9.0,c,"en:composite-foods,en:pizza-pies-and-quiches",https://images.openfoodfacts.org/images/products/322/247/282/0673/front_fr.18.400.jpg,885.0,3.3,4.0,2.7,8.4,1.4,0.0
