id,name,nutriscore,energy,fat_g,sugar_g,sodium_mg,perc_fruit,fibers_g,proteins_g,energy_points,sugars_points,sodium_points,saturated_fat_points,fruit_points,fiber_points,proteins_points
3168930010265,Cruesli Mélange De Noix,a,1933.008,19.0,12.0,0.0,0.0,10.0,8.5,5,2,0,10,0,5,5
20267605,Anacardi,b,2510.4,47.6,6.5,8.0,0.0,5.2,20.5,7,1,0,10,0,5,5
5411188112709,Almonddrink,b,54.392,1.1,0.0,56.0,0.0,0.3,0.4,0,0,0,1,0,0,0
3168930009078,Flocons d'avoine complète,a,1569.0,8.0,1.1,4.0,0.0,9.0,11.0,4,0,0,7,0,5,5
3159470000120,Corn flakes,b,1581.552,0.9,8.0,440.0,0.0,3.0,7.0,4,1,4,0,0,3,4
8076800195057,Spaghetti n.5,a,1502.056,2.0,3.5,4.0,0.0,3.0,13.0,4,0,0,1,0,3,5
20047238,"Alesto mixed nuts (walnuts, hazelnuts, cashews, almonds)",a,2702.864,58.0,4.2,4.0,0.0,8.5,20.4,8,0,0,10,0,5,5
5010029220773,Weetabix,a,1514.608,2.0,4.2,112.0,0.0,10.0,12.0,4,0,1,1,0,5,5
3229820787015,Amande sans sucre,b,104.6,1.7,0.5,20.0,0.0,0.5,0.7,0,0,0,1,0,0,0
7394376616501,Hafer Barista Edition,b,246.856,3.0,3.4,40.0,0.0,0.8,1.1,0,0,0,2,0,0,0
5411188124689,No sugars oat,a,167.36,1.5,0.0,36.0,0.0,1.2,0.2,0,0,0,1,0,1,0
5010029219241,Crispy minis,a,1615.024,5.1,17.0,64.0,0.0,10.0,10.0,4,3,0,5,0,5,5
80042556,Tomaten Fruchtfleisch,a,108.784,0.2,2.8,120.0,0.0,0.0,1.2,0,0,1,0,0,0,0
5060042641000,Lightly sea salted crisps,b,1991.584,27.0,0.64,336.0,0.0,5.5,6.2,5,0,3,10,0,5,3
80176800,Nutella,e,2230.072,30.9,56.3,44.0,0.0,3.0,6.3,6,10,0,10,0,3,3
5411188115366,Oat,a,184.096,1.4,2.6,40.0,0.0,1.9,0.4,0,0,0,1,0,1,0
5053990138753,Sour Cream & Onion,d,2242.6240000000003,32.0,2.4,560.0,0.0,2.9,4.6,6,0,6,10,0,3,2
5053827101424,Smacks,c,1577.3680000000002,1.6,34.0,8.0,0.0,5.0,7.1,4,7,0,1,0,5,4
5000157024671,Heinz Beanz In a rich tomato sauce,a,338.904,0.4,4.3,240.0,34.0,3.9,4.8,1,0,2,0,0,4,2
5411188128311,Kokosnuss ohne Zucker,b,58.576,1.2,0.0,28.0,0.0,0.0,0.1,0,0,0,1,0,0,0
5010029000061,Weetabix Original,a,1514.608,2.0,4.2,112.0,0.0,10.0,12.0,4,0,1,1,0,5,5
8410076801180,Riegel Oats & Honey,c,1953.928,18.1,26.8,340.0,0.0,6.4,8.7,5,5,3,10,0,5,5
7300400118101,Original,a,1397.456,1.5,1.0,400.0,0.0,19.0,9.0,4,0,4,1,0,5,5
5010029201246,Swiss Style Muesli No Added Sugar,a,1543.896,5.8,16.0,112.0,15.0,8.3,12.0,4,3,1,5,0,5,5
20101268,Nougat Bits / Choco Hazelnut Pillows,c,1861.88,15.4,28.5,160.0,0.0,4.8,7.2,5,6,1,10,0,5,4
5411188130055,Plant protein chocolate flavour,a,288.696,2.8,5.0,64.0,0.0,1.3,5.0,0,1,0,2,0,1,3
8008698007389,Seeded Loaf (Bread),b,1041.816,6.6,4.1,388.0,0.0,9.9,4.5,3,0,4,6,0,5,2
8008698005576,Maestro classic,a,974.872,3.4,3.3,396.0,0.0,8.1,3.5,2,0,4,3,0,5,2
7394376616129,Hafer Haver Calcium,b,188.28,1.5,4.0,40.0,0.0,0.8,1.0,0,0,0,1,0,0,0
20004132,Tomaten gehackt,c,108.784,0.2,2.7,520.0,0.0,0.0,1.3,0,0,5,0,0,0,0
4000405005002,Vegane Mühlen Schnitzel,a,849.3520000000001,10.0,0.6,640.0,0.0,6.4,14.0,2,0,7,9,0,5,5
5010029000214,Weetabix,a,1514.608,2.0,4.4,112.0,0.0,10.0,12.0,4,0,1,1,0,5,5
80042532,Double Concentrate Tomato Purée,a,401.664,0.2,14.0,200.0,0.0,0.0,4.2,1,3,2,0,0,0,2
5411188130031,Plant Protein,a,238.488,2.8,2.5,40.0,0.0,0.9,5.0,0,0,0,2,0,0,3
8715700131139,Baked Beans,a,326.35200000000003,0.2,4.7,240.0,0.0,3.9,4.7,0,1,2,0,0,4,2
5202390020407,Greek white,e,1276.12,29.0,0.0,680.0,0.0,0.0,0.0,3,0,7,10,0,0,0
5010029220629,"Oatibix, avena suave",a,1548.0800000000002,8.0,1.1,12.0,0.0,9.0,11.0,4,0,0,7,0,5,5
5053827111188,Céréales Corn Flakes Kellogg's Original,b,1581.552,0.9,8.0,448.0,0.0,3.0,7.0,4,1,4,0,0,3,4
7394376616228,Oat drink barista edition,b,246.856,3.0,4.0,40.0,0.0,0.8,1.0,0,0,0,2,0,0,0
3250391896554,Flocons d'avoine,a,1527.16,6.8,1.1,8.0,0.0,11.4,12.1,4,0,0,6,0,5,5
5060042641420,Chips sel de mer et poivre noir,c,2075.264,27.2,1.4,520.0,0.0,5.0,6.8,6,0,5,10,0,5,4
4000417025005,Schokolade Marzipan,e,2075.264,27.0,51.0,4.0,0.0,0.0,7.0,6,10,0,10,0,0,4
20443375,"Gemüse Oliven, grün, ohne Stein",d,719.648,18.0,0.0,1600.0,0.0,0.0,1.0,2,0,10,10,0,0,0
5411188099154,Simply plain - soya yogurt,a,213.384,2.3,2.1,100.0,0.0,1.0,4.0,0,0,1,2,0,1,2
5060042641406,sea salt & cider vinegar chips,c,1928.824,25.0,1.8,800.0,0.0,5.2,5.7,5,0,8,10,0,5,3
8001250120342,Fusilli n°34,a,1468.584,1.5,3.4,0.0,0.0,2.9,14.0,4,0,0,1,0,3,5
8412600012185,Pan de molde grande,a,1054.368,2.7,3.8,440.0,0.0,4.7,9.8,3,0,4,2,0,4,5
8410076900302,Protein Peanut & Chocolate Cereal Bar,d,2104.552,30.1,16.3,360.0,0.0,13.8,25.7,6,3,3,10,0,5,5
20006105,Pan de centeno integral,c,1569.0,3.21,6.96,714.0,0.0,16.6,10.4,4,1,7,3,0,5,5
20753030,Banane,a,378.652,0.5,15.6,13.0,0.0,2.7,1.06,1,3,0,0,0,2,0
5411188129899,Barista Mandel,b,104.6,1.2,2.5,32.0,0.0,0.2,0.5,0,0,0,1,0,0,0
5411188543381,Soya Original,a,163.17600000000002,1.8,2.5,36.0,0.0,0.5,3.0,0,0,0,1,0,0,1
20033347,Olives vertes,c,715.464,18.0,0.0,1160.0,0.0,2.3,1.0,2,0,10,10,0,2,0
5053827206730,Kellogg's Corn Flakes,c,1581.552,0.9,8.0,452.0,0.0,3.0,7.0,4,1,5,0,0,3,4
8001250120076,Linguine n° 7,a,1468.584,1.5,3.4,0.0,0.0,2.9,14.0,4,0,0,1,0,3,5
7613033174667,Dolce Gusto Café au Lait,e,1673.6,20.0,29.1,412.0,0.0,8.2,21.2,4,6,4,10,0,5,5
5000108022152,Quaker Rolled Oats,a,1564.816,8.0,1.1,0.0,0.0,9.0,11.0,4,0,0,7,0,5,5
20534479,Soft Datteln entsteint,c,1192.44,0.3,57.0,12.0,0.0,6.9,2.2,3,10,0,0,0,5,1
5060092030687,Granola low sugar,b,2096.184,27.1,3.8,8.0,0.0,9.7,14.2,6,0,0,10,0,5,5
