_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g
7622300318147,https://images.openfoodfacts.org/images/products/762/230/031/8147/front_de.75.400.jpg,"Philadelphia,Mondelez",Salty and fatty products,632.0,5.2,0.7,7.1,7.4,0.4,0.0,0.28,8.0
7610100031403,https://images.openfoodfacts.org/images/products/761/010/003/1403/front_de.97.400.jpg,"Thomy,Nestlé",Dressings and sauces,425.0,1.7,3.6,0.4,6.3,2.9,0.0,1.44,8.0
7614500010013,https://images.openfoodfacts.org/images/products/761/450/001/0013/front_de.111.400.jpg,"Toblerone,Mondelez",Chocolate products,2209.0,60.0,0.12,17.0,5.6,2.4,16.0,0.048,24.0
7613034831712,https://images.openfoodfacts.org/images/products/761/303/483/1712/front_de.75.400.jpg,Nestlé,Teas and herbal teas and coffees,1572.0,3.2,0.23,0.2,5.1,8.0,9.375,0.092,3.0
3033490004743,https://images.openfoodfacts.org/images/products/303/349/000/4743/front_fr.132.400.jpg,Danone,Milk and yogurt,244.0,3.9,0.09,0.1,10.0,0.0,0.0,0.036,-5.0
8076809513753,https://images.openfoodfacts.org/images/products/807/680/951/3753/front_de.278.400.jpg,"Barilla,Barrilla",Dressings and sauces,1989.0,5.5,3.3,5.3,4.7,5.0,11.45,1.32,16.0
3178530403022,https://images.openfoodfacts.org/images/products/317/853/040/3022/front_fr.113.400.jpg,Bonne maman,Biscuits and cakes,2047.0,39.0,0.73,14.0,6.6,2.0,0.0,0.292,25.0
20082857,https://images.openfoodfacts.org/images/products/20082857/front_de.64.400.jpg,Milbona,Salty and fatty products,1033.0,2.7,0.78,16.1,7.4,0.0,0.0,0.312,12.0
4061458019187,https://images.openfoodfacts.org/images/products/406/145/801/9187/front_de.34.400.jpg,vegetarisch lecker!,Processed meat,821.0,3.8,2.2,1.7,8.6,2.8,0.0,0.88,10.0
5010034514003,https://images.openfoodfacts.org/images/products/501/003/451/4003/front_en.82.400.jpg,Uncle Ben's,One-dish meals,612.0,0.5,0.01,0.1,2.7,0.7,0.0,0.004,0.0
