_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points
3274080005003.0,https://images.openfoodfacts.org/images/products/327/408/000/5003/front_de.871.400.jpg,Cristaline,Waters and flavored waters,0.0,0.0,0.00525,0.0,0.0,0.0,0.0,0.0021,0.0,a,0.0,0.0
3502110009357.0,https://images.openfoodfacts.org/images/products/350/211/000/9357/front_en.101.400.jpg,"PepsiCo, Pepsi zero",Artificially sweetened beverages,2.0,0.0,0.01,0.0,0.0,0.0,0.0,0.004,1.0,b,1.0,0.0
5449000133328.0,https://images.openfoodfacts.org/images/products/544/900/013/3328/front_en.226.400.jpg,Coca-Cola,Artificially sweetened beverages,0.9,0.0,0.02,0.0,0.0,0.0,0.0,0.008,1.0,b,1.0,0.0
90357473.0,https://images.openfoodfacts.org/images/products/90357473/front_fr.85.400.jpg,Coca-Cola,Artificially sweetened beverages,1.4,0.0,0.02,0.0,0.0,0.0,0.0,0.008,1.0,b,1.0,9.0
90162800.0,https://images.openfoodfacts.org/images/products/90162800/front_de.51.400.jpg,Red Bull,Artificially sweetened beverages,13.0,0.0,0.1,0.0,0.0,0.0,0.0,0.04,1.0,b,9.0,0.0
5000112576009.0,https://images.openfoodfacts.org/images/products/500/011/257/6009/front_de.30.400.jpg,Coca-Cola,Artificially sweetened beverages,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.08,1.0,b,1.0,0.0
5449000214799.0,https://images.openfoodfacts.org/images/products/544/900/021/4799/front_fr.219.400.jpg,Coca-Cola,Artificially sweetened beverages,1.4,0.0,0.02,0.0,0.0,0.0,0.0,0.008,1.0,b,1.0,0.0
5449000052926.0,https://images.openfoodfacts.org/images/products/544/900/005/2926/front_fr.97.400.jpg,Fanta,Artificially sweetened beverages,203.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,15.0,e,4.0,0.0
4104420186279.0,https://images.openfoodfacts.org/images/products/410/442/018/6279/front_de.73.400.jpg,Alnatura,Plant-based milk substitutes,164.0,5.2,0.13,0.2,0.6,0.5,0.0,0.052,1.0,b,0.0,0.0
4056489244691.0,https://images.openfoodfacts.org/images/products/405/648/924/4691/front_de.95.400.jpg,"Vemondo, Lidl, Grønvang Food",Plant-based milk substitutes,158.0,4.0,0.12,0.2,0.4,0.6,0.0,0.048,0.0,b,0.0,0.0
5411188102809.0,https://images.openfoodfacts.org/images/products/541/118/810/2809/front_de.182.400.jpg,Alpro,Plant-based milk substitutes,293.0,7.9,0.15,0.4,3.7,1.0,61.475,0.06,-4.0,a,1.0,5.0
4056489041313.0,https://images.openfoodfacts.org/images/products/405/648/904/1313/front_de.127.400.jpg,"Vemondo,Milbona",Plant-based milk substitutes,101.0,2.7,0.1,0.1,0.5,0.0,2.3,0.04,0.0,b,1.0,0.0
5411188112709.0,https://images.openfoodfacts.org/images/products/541/118/811/2709/front_de.425.400.jpg,Alpro,Plant-based milk substitutes,56.0,0.0,0.14,0.1,0.4,0.3,2.3,0.056,0.0,b,0.0,0.0
7394376616501.0,https://images.openfoodfacts.org/images/products/739/437/661/6501/front_de.160.400.jpg,Oatly!,Plant-based milk substitutes,257.0,3.4,0.1,0.3,1.1,0.8,5.0,0.04,0.0,b,0.0,0.0
5411188115366.0,https://images.openfoodfacts.org/images/products/541/118/811/5366/front_de.88.400.jpg,Alpro,Plant-based milk substitutes,185.0,2.6,0.1,0.2,0.4,1.9,0.0,0.04,-1.0,a,0.0,1.0
5411188115472.0,https://images.openfoodfacts.org/images/products/541/118/811/5472/front_de.178.400.jpg,Alpro,Plant-based milk substitutes,163.0,2.5,0.09,0.3,3.0,0.5,24.2,0.036,-1.0,a,0.0,1.0
20749880.0,https://images.openfoodfacts.org/images/products/20749880/front_de.122.400.jpg,"Vemondo,Lidl,Sojinal",Plant-based milk substitutes,182.0,2.9,0.16,0.3,3.3,0.8,4.9,0.064,-2.0,a,1.0,3.0
5411188116592.0,https://images.openfoodfacts.org/images/products/541/118/811/6592/front_de.184.400.jpg,Alpro,Plant-based milk substitutes,85.0,1.9,0.13,0.9,0.1,0.1,5.3,0.052,0.0,b,0.0,0.0
4066447051360.0,https://images.openfoodfacts.org/images/products/406/644/705/1360/front_de.34.400.jpg,dmBio,Plant-based milk substitutes,168.0,5.2,0.13,0.2,0.6,0.5,0.0,0.052,1.0,b,1.0,0.0
7394376616129.0,https://images.openfoodfacts.org/images/products/739/437/661/6129/front_de.68.400.jpg,Oatly,Plant-based milk substitutes,193.0,4.0,0.1,0.2,1.0,0.8,11.4583333333333,0.04,0.0,b,0.0,0.0
4000405005217.0,https://images.openfoodfacts.org/images/products/400/040/500/5217/front_de.74.400.jpg,Rügenwalder Mühle,unknown,422.0,0.5,1.6,0.1,18.0,5.7,5.25,0.64,-2.0,a,10.0,5.0
4056489223252.0,https://images.openfoodfacts.org/images/products/405/648/922/3252/front_de.33.400.jpg,"Vemondo,Lidl",unknown,969.0,6.0,1.55,1.1,4.5,2.8,0.3,0.62,6.0,c,9.0,4.0
7610227935219.0,https://images.openfoodfacts.org/images/products/761/022/793/5219/front_de.29.400.jpg,The Green Mountain,unknown,608.0,0.5,1.6,0.6,11.0,2.0,0.0,0.64,1.0,b,6.0,9.0
4000405005415.0,https://images.openfoodfacts.org/images/products/400/040/500/5415/front_de.50.400.jpg,Rügenwalder Mühle,unknown,556.0,1.5,2.7,0.7,6.4,3.2,6.0,1.08,8.0,c,10.0,6.0
7290010739820.0,https://images.openfoodfacts.org/images/products/729/001/073/9820/front_de.48.400.jpg,"Garden Gourmet,Nestlé",unknown,937.0,2.8,1.4,1.7,14.0,5.3,42.325,0.56,-2.0,a,3.0,10.0
4260380661260.0,https://images.openfoodfacts.org/images/products/426/038/066/1260/front_de.63.400.jpg,Like Meat,unknown,544.0,0.5,1.6,0.5,18.0,6.2,0.0,0.64,-2.0,a,8.0,7.0
3033710065967.0,https://images.openfoodfacts.org/images/products/303/371/006/5967/front_de.322.400.jpg,"Nestlé,Nesquik",unknown,1634.0,75.1,0.41,1.6,5.1,7.7,0.0,0.164,1.0,b,3.0,2.0
4000405004548.0,https://images.openfoodfacts.org/images/products/400/040/500/4548/front_de.60.400.jpg,Rügenwälder Mühle,unknown,748.0,1.5,2.4,1.2,8.2,3.0,0.0,0.96,10.0,c,9.0,10.0
4260322211362.0,https://images.openfoodfacts.org/images/products/426/032/221/1362/front_de.17.400.jpg,Greenforce,unknown,972.0,1.5,2.2,4.0,13.0,6.0,30.1470588235294,0.88,9.0,c,10.0,9.0
4000405001752.0,https://images.openfoodfacts.org/images/products/400/040/500/1752/front_de.34.400.jpg,Rügenwalder Mühle,unknown,726.0,0.6,1.9,1.0,8.2,3.8,34.8214285714286,0.76,1.0,b,8.0,5.0
4000405004982.0,https://images.openfoodfacts.org/images/products/400/040/500/4982/front_de.36.400.jpg,Rügenwalder Mühle,unknown,460.0,2.0,2.2,0.7,2.2,6.7,0.0,0.88,4.0,c,11.0,0.0
4000405004470.0,https://images.openfoodfacts.org/images/products/400/040/500/4470/front_de.36.400.jpg,Rügenwalder,unknown,590.0,1.4,2.3,1.0,2.2,6.3,4.4,0.92,6.0,c,11.0,0.0
4056489028109.0,https://images.openfoodfacts.org/images/products/405/648/902/8109/front_de.170.400.jpg,solevita,Fruit juices,142.0,7.6,0.01,0.1,0.5,0.0,75.0,0.004,7.0,d,11.0,4.0
20019907.0,https://images.openfoodfacts.org/images/products/20019907/front_de.173.400.jpg,Solevita,Fruit juices,117.0,2.2,0.01,0.1,0.4,0.5,99.88,0.004,-4.0,b,6.0,10.0
4029764001807.0,https://images.openfoodfacts.org/images/products/402/976/400/1807/front_de.171.400.jpg,Club Mate,Sweetened beverages,84.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,d,1.0,0.0
3229820787985.0,https://images.openfoodfacts.org/images/products/322/982/078/7985/front_fr.85.400.jpg,Bjorg,Unsweetened beverages,760.0,1.6,0.08,15.0,1.2,1.1,55.0,0.032,19.0,e,0.0,0.0
3272770015653.0,https://images.openfoodfacts.org/images/products/327/277/001/5653/front_de.33.400.jpg,Bresso,Salty and fatty products,939.0,1.1,1.1,1.7,4.6,4.0,16.0,0.44,1.0,b,6.0,1.0
4000339035229.0,https://images.openfoodfacts.org/images/products/400/033/903/5229/front_en.52.400.jpg,"Mondelez,Philadelphia",Salty and fatty products,964.0,4.3,0.75,14.0,5.4,0.2,0.0,0.3,12.0,d,7.0,6.0
7622300441937.0,https://images.openfoodfacts.org/images/products/762/230/044/1937/front_en.130.400.jpg,Kraft,Salty and fatty products,1027.0,1.3,0.75,14.0,5.4,0.2,0.0,0.3,13.0,d,3.0,5.0
20082857.0,https://images.openfoodfacts.org/images/products/20082857/front_de.64.400.jpg,Milbona,Salty and fatty products,1033.0,2.7,0.78,16.1,7.4,0.0,0.0,0.312,12.0,d,0.0,5.0
4000405002704.0,https://images.openfoodfacts.org/images/products/400/040/500/2704/front_de.31.400.jpg,Rügenwalder Mühle,Salty and fatty products,923.0,4.1,1.6,1.7,0.6,3.3,38.61875,0.64,7.0,c,11.0,0.0
20195595.0,https://images.openfoodfacts.org/images/products/20195595/front_de.150.400.jpg,Milbona,Cheese,614.0,2.0,1.0,8.4,8.0,0.1,0.0,0.4,9.0,c,1.0,5.0
8000430138719.0,https://images.openfoodfacts.org/images/products/800/043/013/8719/front_de.85.400.jpg,Galbani,Cheese,989.0,1.0,0.7,13.0,17.0,0.0,0.0,0.28,10.0,c,0.0,5.0
7622300318154.0,https://images.openfoodfacts.org/images/products/762/230/031/8154/front_de.23.400.jpg,Mondelez,Cheese,673.0,5.0,0.775,7.9,7.3,0.4,0.0,0.31,9.0,c,3.0,2.0
3023260005100.0,https://images.openfoodfacts.org/images/products/302/326/000/5100/front_de.183.400.jpg,Salakis,Cheese,1126.0,0.8,2.8,16.0,16.0,0.0,0.0,1.12,18.0,d,8.0,1.0
3451790988042.0,https://images.openfoodfacts.org/images/products/345/179/098/8042/front_fr.105.400.jpg,Elle & Vire,Milk and yogurt,1204.0,3.2,0.08,21.0,2.3,0.0,0.0,0.032,13.0,d,1.0,3.0
4002671157751.0,https://images.openfoodfacts.org/images/products/400/267/115/7751/front_de.3.400.jpg,Gervais,Dairy desserts,392.0,1.6,0.85,2.6,12.3,0.0,0.0,0.34,1.0,b,6.0,2.0
7622300508661.0,https://images.openfoodfacts.org/images/products/762/230/050/8661/front_de.29.400.jpg,"Philadelphia,Milka,Mondelez",Sweets,1202.0,33.0,0.51,8.4,6.2,1.7,0.0,0.204,16.0,d,0.0,5.0
20133207.0,https://images.openfoodfacts.org/images/products/20133207/front_en.39.400.jpg,Alesto,Nuts,2533.0,5.6,1.3,6.3,26.5,8.6,98.7,0.52,4.0,c,11.0,15.0
20005719.0,https://images.openfoodfacts.org/images/products/20005719/front_de.130.400.jpg,Alesto,Nuts,2507.0,5.6,1.78,6.3,26.5,7.6,98.2,0.712,6.0,c,0.0,0.0
40198651.0,https://images.openfoodfacts.org/images/products/40198651/front_de.35.400.jpg,Kühne,Dressings and sauces,537.0,20.0,1.8,0.1,1.0,1.5,57.7564697265625,0.72,10.0,c,10.0,10.0
20170196.0,https://images.openfoodfacts.org/images/products/20170196/front_de.66.400.jpg,"Vitasia, Improba B.V., Vitasia Inproba B.V.",Dressings and sauces,681.0,34.8,3.13,0.1,0.4,0.0,12.0,1.252,19.0,e,5.0,1.0
8076809541091.0,https://images.openfoodfacts.org/images/products/807/680/954/1091/front_de.99.400.jpg,"Barilla, BARILLA Pesto, Italien",Dressings and sauces,1333.0,9.3,2.64,2.4,2.4,2.5,0.0,1.056,14.0,d,11.0,3.0
8712100871986.0,https://images.openfoodfacts.org/images/products/871/210/087/1986/front_fr.136.400.jpg,Maille,Dressings and sauces,631.0,1.9,4.9,0.6,7.0,2.0,0.0,1.96,9.0,c,10.0,5.0
