_id,image_url,brands,is_beverage,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points
4000522064302,https://images.openfoodfacts.org/images/products/400/052/206/4302/front_de.121.400.jpg,"Pombär, Intersnack Deutschland SE",N,Appetizers,2142,1.3,1.5,2.5,3,1.6,0,0.6,13,d,10,5
4003586000316,https://images.openfoodfacts.org/images/products/400/358/600/0316/front_de.107.400.jpg,funny-frisch Diverse,N,Appetizers,2209,2.5,1.6,3,6.1,4.2,0,0.64,11,d,9,10
3502110009357,https://images.openfoodfacts.org/images/products/350/211/000/9357/front_en.101.400.jpg,"PepsiCo, Pepsi zero",Y,Artificially sweetened beverages,2,0,0.01,0,0,0,0,0.004,1,b,1,0
5449000133328,https://images.openfoodfacts.org/images/products/544/900/013/3328/front_en.226.400.jpg,Coca-Cola,Y,Artificially sweetened beverages,0.9,0,0.02,0,0,0,0,0.008,1,b,1,0
90357473,https://images.openfoodfacts.org/images/products/90357473/front_fr.85.400.jpg,Coca-Cola,Y,Artificially sweetened beverages,1.4,0,0.02,0,0,0,0,0.008,1,b,1,9
90162800,https://images.openfoodfacts.org/images/products/90162800/front_de.51.400.jpg,Red Bull,Y,Artificially sweetened beverages,13,0,0.1,0,0,0,0,0.04,1,b,9,0
5000112576009,https://images.openfoodfacts.org/images/products/500/011/257/6009/front_de.30.400.jpg,Coca-Cola,Y,Artificially sweetened beverages,0.9,0,0.2,0,0,0,0,0.08,1,b,1,0
5449000214799,https://images.openfoodfacts.org/images/products/544/900/021/4799/front_fr.219.400.jpg,Coca-Cola,Y,Artificially sweetened beverages,1.4,0,0.02,0,0,0,0,0.008,1,b,1,0
5449000052926,https://images.openfoodfacts.org/images/products/544/900/005/2926/front_fr.97.400.jpg,Fanta,Y,Artificially sweetened beverages,203,11.7,0,0,0,0,0,0,15,e,4,0
40144382,https://images.openfoodfacts.org/images/products/40144382/front_de.33.400.jpg,Storck,N,Biscuits and cakes,2284,34.6,0.56,18.5,9.2,0,9.2,0.224,25,e,11,5
4337256103930,https://images.openfoodfacts.org/images/products/433/725/610/3930/front_de.3.400.jpg,"Ja!,",N,Bread,1042,3.6,1,0.4,8.4,3.8,0,0.4,-2,a,8,10
5201673005315,https://images.openfoodfacts.org/images/products/520/167/300/5315/front_de.3.400.jpg,Καραμολεγκος,N,Bread,1214,4,0.55,0.3,9.5,2.5,0,0.22,-2,a,9,5
7300400122702,https://images.openfoodfacts.org/images/products/730/040/012/2702/front_de.43.400.jpg,Wasa,N,Bread,1885,3,1.13,7.5,10,12,13.81,0.452,12,d,9,5
4000446016807,https://images.openfoodfacts.org/images/products/400/044/601/6807/front_de.26.400.jpg,Mestemacher,N,Bread,1030,1.9,0.84,0.2,8.4,3,0,0.336,-2,a,8,10
4061458236928,https://images.openfoodfacts.org/images/products/406/145/823/6928/front_de.25.400.jpg,"Goldähren,Sinnack Backspezialitäten,Aldi",N,Bread,1340,3,1.3,1,18,6,0,0.52,-2,a,7,5
7616800705057,https://images.openfoodfacts.org/images/products/761/680/070/5057/front_fr.30.400.jpg,"Migros,M-Classic,Bischofszell",N,Cereals,415,3.2,1,0.9,3.7,14,64.25,0.4,-4,a,4,4
7616800705101,https://images.openfoodfacts.org/images/products/761/680/070/5101/front_fr.35.400.jpg,"M-Classic, Migros, MClassic",N,Cereals,420,3.3,1.1,0.8,3.5,0.7,66.21875,0.44,1,b,5,1
20195595,https://images.openfoodfacts.org/images/products/20195595/front_de.150.400.jpg,Milbona,N,Cheese,614,2,1,8.4,8,0.1,0,0.4,9,c,1,5
8000430138719,https://images.openfoodfacts.org/images/products/800/043/013/8719/front_de.85.400.jpg,Galbani,N,Cheese,989,1,0.7,13,17,0,0,0.28,10,c,0,5
7622300318154,https://images.openfoodfacts.org/images/products/762/230/031/8154/front_de.23.400.jpg,Mondelez,N,Cheese,673,5,0.775,7.9,7.3,0.4,0,0.31,9,c,3,2
3023260005100,https://images.openfoodfacts.org/images/products/302/326/000/5100/front_de.183.400.jpg,Salakis,N,Cheese,1126,0.8,2.8,16,16,0,0,1.12,18,d,8,1
40896250,https://images.openfoodfacts.org/images/products/40896250/front_de.55.400.jpg,Fairglobe,N,Chocolate products,2361,51.5,0.23,21.5,7.2,0.1,0,0.092,28,e,3,8
4002671157751,https://images.openfoodfacts.org/images/products/400/267/115/7751/front_de.3.400.jpg,Gervais,N,Dairy desserts,392,1.6,0.85,2.6,12.3,0,0,0.34,1,b,6,2
40198651,https://images.openfoodfacts.org/images/products/40198651/front_de.35.400.jpg,Kühne,N,Dressings and sauces,537,20,1.8,0.1,1,1.5,57.75646973,0.72,10,c,10,10
20170196,https://images.openfoodfacts.org/images/products/20170196/front_de.66.400.jpg,"Vitasia, Improba B.V., Vitasia Inproba B.V.",N,Dressings and sauces,681,34.8,3.13,0.1,0.4,0,12,1.252,19,e,5,1
8076809541091,https://images.openfoodfacts.org/images/products/807/680/954/1091/front_de.99.400.jpg,"Barilla, BARILLA Pesto, Italien",N,Dressings and sauces,1333,9.3,2.64,2.4,2.4,2.5,0,1.056,14,d,11,3
8712100871986,https://images.openfoodfacts.org/images/products/871/210/087/1986/front_fr.136.400.jpg,Maille,N,Dressings and sauces,631,1.9,4.9,0.6,7,2,0,1.96,9,c,10,5
8076809545396,https://images.openfoodfacts.org/images/products/807/680/954/5396/front_de.211.400.jpg,"Barilla, Cucina Nobile Hofer, Italien",N,Dressings and sauces,1830,4.6,3,5,4.2,1.4,18.72568681,1.2,19,e,6,4
20757809,https://images.openfoodfacts.org/images/products/20757809/front_de.87.400.jpg,"Chef Select, My Best Veggie",N,Dressings and sauces,1129,2.2,1.63,1.9,6.7,5.2,71.5,0.652,4,c,11,2
8410076470553,https://images.openfoodfacts.org/images/products/841/007/647/0553/front_fr.67.400.jpg,Old El Paso,N,Dressings and sauces,190,5.4,1,0,1.3,1.8,58,0.4,3,c,11,0
8076809513722,https://images.openfoodfacts.org/images/products/807/680/951/3722/front_de.902.400.jpg,Barilla,N,Dressings and sauces,268,5.9,0.9,0.3,1.6,1.9,92.16666667,0.36,-2,a,5,7
6194049100044,https://images.openfoodfacts.org/images/products/619/404/910/0044/front_de.134.400.jpg,Le Phare du Cap Bon,N,Dressings and sauces,302,6.9,1.7,0.5,2.9,2.5,7.8,0.68,5,c,11,2
8718114734484,https://images.openfoodfacts.org/images/products/871/811/473/4484/front_en.117.400.jpg,Maille,N,Dressings and sauces,2778,1,1.1,5.9,1.6,0.5,59.8,0.44,16,d,2,5
4061458024068,https://images.openfoodfacts.org/images/products/406/145/802/4068/front_de.65.400.jpg,Schätze des Orients,N,Dressings and sauces,1273,3.4,1,2.1,8,0,77.91015625,0.4,3,c,6,7
8076809513692,https://images.openfoodfacts.org/images/products/807/680/951/3692/front_de.195.400.jpg,Barilla,N,Dressings and sauces,281,5.2,0.96,0.4,1.4,1.8,87.4,0.384,-1,a,5,8
7610100031403,https://images.openfoodfacts.org/images/products/761/010/003/1403/front_de.97.400.jpg,"Thomy,Nestlé",N,Dressings and sauces,425,1.7,3.6,0.4,6.3,2.9,0,1.44,8,c,1,6
3036810201280,https://images.openfoodfacts.org/images/products/303/681/020/1280/front_de.189.400.jpg,"Maille, Senf",N,Dressings and sauces,620,2,5.7,0.6,7,3,0,2.28,8,c,10,0
40198668,https://images.openfoodfacts.org/images/products/40198668/front_de.63.400.jpg,Kühne,N,Dressings and sauces,1218,13,2.2,2,1.1,1.5,66.98232143,0.88,12,d,3,5
8076809523547,https://images.openfoodfacts.org/images/products/807/680/952/3547/front_de.308.400.jpg,"Barilla, pesto",N,Dressings and sauces,1360,7.8,2.8,3.4,3.8,2.3,52.9625,1.12,15,d,5,1
8715700407760,https://images.openfoodfacts.org/images/products/871/570/040/7760/front_de.75.400.jpg,Heinz,N,Dressings and sauces,476,24.8,1.7,0.1,1.4,0,72.65,0.68,11,d,0,0
4056489028109,https://images.openfoodfacts.org/images/products/405/648/902/8109/front_de.170.400.jpg,solevita,Y,Fruit juices,142,7.6,0.01,0.1,0.5,0,75,0.004,7,d,11,4
20019907,https://images.openfoodfacts.org/images/products/20019907/front_de.173.400.jpg,Solevita,Y,Fruit juices,117,2.2,0.01,0.1,0.4,0.5,99.88,0.004,-4,b,6,10
